following_url,events_url,organizations_url,url,contributions,gists_url,html_url,subscriptions_url,avatar_url,repos_url,received_events_url,gravatar_id,starred_url,site_admin,login,type,id,followers_url
https://api.github.com/users/adnan-c/following{/other_user},https://api.github.com/users/adnan-c/events{/privacy},https://api.github.com/users/adnan-c/orgs,https://api.github.com/users/adnan-c,6,https://api.github.com/users/adnan-c/gists{/gist_id},https://github.com/adnan-c,https://api.github.com/users/adnan-c/subscriptions,https://avatars3.githubusercontent.com/u/24465066?v=3,https://api.github.com/users/adnan-c/repos,https://api.github.com/users/adnan-c/received_events,,https://api.github.com/users/adnan-c/starred{/owner}{/repo},False,adnan-c,User,24465066,https://api.github.com/users/adnan-c/followers
https://api.github.com/users/oldsharp/following{/other_user},https://api.github.com/users/oldsharp/events{/privacy},https://api.github.com/users/oldsharp/orgs,https://api.github.com/users/oldsharp,6,https://api.github.com/users/oldsharp/gists{/gist_id},https://github.com/oldsharp,https://api.github.com/users/oldsharp/subscriptions,https://avatars1.githubusercontent.com/u/980500?v=3,https://api.github.com/users/oldsharp/repos,https://api.github.com/users/oldsharp/received_events,,https://api.github.com/users/oldsharp/starred{/owner}{/repo},False,oldsharp,User,980500,https://api.github.com/users/oldsharp/followers
https://api.github.com/users/cendhu/following{/other_user},https://api.github.com/users/cendhu/events{/privacy},https://api.github.com/users/cendhu/orgs,https://api.github.com/users/cendhu,6,https://api.github.com/users/cendhu/gists{/gist_id},https://github.com/cendhu,https://api.github.com/users/cendhu/subscriptions,https://avatars3.githubusercontent.com/u/8362882?v=3,https://api.github.com/users/cendhu/repos,https://api.github.com/users/cendhu/received_events,,https://api.github.com/users/cendhu/starred{/owner}{/repo},False,cendhu,User,8362882,https://api.github.com/users/cendhu/followers
https://api.github.com/users/cdaughtr/following{/other_user},https://api.github.com/users/cdaughtr/events{/privacy},https://api.github.com/users/cdaughtr/orgs,https://api.github.com/users/cdaughtr,6,https://api.github.com/users/cdaughtr/gists{/gist_id},https://github.com/cdaughtr,https://api.github.com/users/cdaughtr/subscriptions,https://avatars2.githubusercontent.com/u/22151741?v=3,https://api.github.com/users/cdaughtr/repos,https://api.github.com/users/cdaughtr/received_events,,https://api.github.com/users/cdaughtr/starred{/owner}{/repo},False,cdaughtr,User,22151741,https://api.github.com/users/cdaughtr/followers
https://api.github.com/users/lehors/following{/other_user},https://api.github.com/users/lehors/events{/privacy},https://api.github.com/users/lehors/orgs,https://api.github.com/users/lehors,5,https://api.github.com/users/lehors/gists{/gist_id},https://github.com/lehors,https://api.github.com/users/lehors/subscriptions,https://avatars3.githubusercontent.com/u/6464618?v=3,https://api.github.com/users/lehors/repos,https://api.github.com/users/lehors/received_events,,https://api.github.com/users/lehors/starred{/owner}{/repo},False,lehors,User,6464618,https://api.github.com/users/lehors/followers
https://api.github.com/users/smithbk/following{/other_user},https://api.github.com/users/smithbk/events{/privacy},https://api.github.com/users/smithbk/orgs,https://api.github.com/users/smithbk,5,https://api.github.com/users/smithbk/gists{/gist_id},https://github.com/smithbk,https://api.github.com/users/smithbk/subscriptions,https://avatars3.githubusercontent.com/u/9592001?v=3,https://api.github.com/users/smithbk/repos,https://api.github.com/users/smithbk/received_events,,https://api.github.com/users/smithbk/starred{/owner}{/repo},False,smithbk,User,9592001,https://api.github.com/users/smithbk/followers
https://api.github.com/users/bcbrock/following{/other_user},https://api.github.com/users/bcbrock/events{/privacy},https://api.github.com/users/bcbrock/orgs,https://api.github.com/users/bcbrock,5,https://api.github.com/users/bcbrock/gists{/gist_id},https://github.com/bcbrock,https://api.github.com/users/bcbrock/subscriptions,https://avatars2.githubusercontent.com/u/11968347?v=3,https://api.github.com/users/bcbrock/repos,https://api.github.com/users/bcbrock/received_events,,https://api.github.com/users/bcbrock/starred{/owner}{/repo},False,bcbrock,User,11968347,https://api.github.com/users/bcbrock/followers
https://api.github.com/users/bviswana101/following{/other_user},https://api.github.com/users/bviswana101/events{/privacy},https://api.github.com/users/bviswana101/orgs,https://api.github.com/users/bviswana101,4,https://api.github.com/users/bviswana101/gists{/gist_id},https://github.com/bviswana101,https://api.github.com/users/bviswana101/subscriptions,https://avatars0.githubusercontent.com/u/14791768?v=3,https://api.github.com/users/bviswana101/repos,https://api.github.com/users/bviswana101/received_events,,https://api.github.com/users/bviswana101/starred{/owner}{/repo},False,bviswana101,User,14791768,https://api.github.com/users/bviswana101/followers
https://api.github.com/users/jimthematrix/following{/other_user},https://api.github.com/users/jimthematrix/events{/privacy},https://api.github.com/users/jimthematrix/orgs,https://api.github.com/users/jimthematrix,4,https://api.github.com/users/jimthematrix/gists{/gist_id},https://github.com/jimthematrix,https://api.github.com/users/jimthematrix/subscriptions,https://avatars0.githubusercontent.com/u/5289853?v=3,https://api.github.com/users/jimthematrix/repos,https://api.github.com/users/jimthematrix/received_events,,https://api.github.com/users/jimthematrix/starred{/owner}{/repo},False,jimthematrix,User,5289853,https://api.github.com/users/jimthematrix/followers
https://api.github.com/users/joshhus/following{/other_user},https://api.github.com/users/joshhus/events{/privacy},https://api.github.com/users/joshhus/orgs,https://api.github.com/users/joshhus,4,https://api.github.com/users/joshhus/gists{/gist_id},https://github.com/joshhus,https://api.github.com/users/joshhus/subscriptions,https://avatars3.githubusercontent.com/u/16542757?v=3,https://api.github.com/users/joshhus/repos,https://api.github.com/users/joshhus/received_events,,https://api.github.com/users/joshhus/starred{/owner}{/repo},False,joshhus,User,16542757,https://api.github.com/users/joshhus/followers
